  X              Y
    1.283594       5.872976
   0.9732653       3.380136
  -0.7612836      0.7644039
   0.3253849E-01   2.737764
   -1.408220      -2.941451
   -2.029572       30.45846
   -2.156916      -4.181606
    1.031254       4.937328
  -0.9405365      0.2692388
   0.9416188       5.005508
   -1.426720      -2.388481
  -0.5060759      0.8833237
   0.4412177       2.849398
   0.3359570       3.360152
  -0.1648029E-01   3.395398
   0.1533662       2.913756
   0.3581140       1.653067
  -0.7941146      0.2677205
   -1.974113      -5.256064
   -2.521965      -5.567625
  -0.4605035      -1.875176
   0.2796450       1.929454
   0.5676422       2.148162
    1.023439       4.667334
   0.3599859       4.013284
    1.858995       8.398510
  -0.7955471       1.598495
   0.5761738E-01   2.132771
  -0.2832681       1.459203
  -0.3783155       1.831136
   0.8179148       4.982284
  -0.8306286     -0.1027680
   0.8435801      -44.08470
   0.1797868       5.434198
  -0.5503671       9.301398
    1.398439       5.156668
   -2.066472      -6.933849
    1.827211       9.645891
   -1.400769      -3.235308
   0.6307655       2.440691
   0.7145938       4.319627
   0.3719683       2.613984
  -0.6174950E-01   1.913626
  -0.3575123      0.8003782
  -0.2820382       1.389547
   0.3323339      -1.478797
  -0.8051152E-01   1.401833
   -1.066395       2.222099
   -1.157069      -1.252640
   0.2932869       22.83091
    1.559631       6.211477
  -0.7195046       8.000516
  -0.6449661      0.1263241
  -0.7569862      -1.011011
   0.3839339       2.808281
    1.328892       5.400835
    1.119887       2.516570
  -0.5937734      -2.619705
   0.5430404       1.619001
   -1.081553     -0.7780162
    1.200799       5.552902
  -0.1152277E-01  0.7679489
  -0.4508949       3.087712
   0.3627261       5.255858
   0.2097786      -1.861217
  -0.2049193      -32.55777
   0.4741272       3.075195
   0.9138192       5.649807
   -2.455013       17.16222
   0.7201034       6.840492
  -0.7921800      -4.627682
  -0.6306470     -0.5947501
   0.1417691       2.157848
  -0.8175992     -0.7065783
  -0.7575806     -0.1945669
   -1.903273      -3.555319
   -1.165934      -2.650333
   0.2226101      -9.757642
  -0.4385686       1.009847
    2.009178       8.942204
    1.862668       8.438944
   0.9959185E-01  0.4536711
  -0.3946130      0.4109798
   0.3533417       1.451396
  -0.7203930      -1.302483
   0.2694916       2.312835
   0.4167331      0.8276897
   0.3634622       2.441011
   -1.069720      -1.289605
   -3.220752      -10.30027
   -2.562736      -5.168563
  -0.4474994      0.7620247
   -1.570777      -2.844075
  -0.6808986     -0.8866907
   0.8719013       10.46884
   0.3685105       2.609281
   0.3054336       3.305929
  -0.9182716E-01  0.5693498
   -1.591428     -0.9719622
   -2.236775      -4.753723
   0.1259912E-01 -0.3646165
  -0.1401491       3.038124
   0.1474576       4.159447
  -0.7098904      0.3398772
  -0.6032236     -0.3722777
  -0.2669047      -13.48311
    2.325796       8.718524
    1.232798       4.090018
   -1.374541      -6.260177
   0.1250809       2.191026
    2.226161       9.594382
  -0.6827210     -0.5708666
   0.9332343       45.60638
   0.4939429       3.070102
   -1.611282       5.498940
  -0.1516942       2.547187
  -0.3340768       1.353139
   0.9356446       4.778137
    1.197682       5.259971
   -2.397047      -4.954797
   0.8040554E-01   1.495343
  -0.6629021E-01  0.7955913
  -0.7718241E-01 -0.2278370
  -0.4190639      0.9319915
    1.562336       6.025079
   0.1005790      -17.98090
   -1.145265      -3.031749
   0.7915968       5.804880
   0.8115290E-01   3.550013
   -1.145439      -3.684996
  -0.3880414       1.436202
   0.7524006       10.05044
  -0.3529753       3.868805
  -0.5292781       1.004185
  -0.2136788E-01  0.7021164
   -2.046388      -6.128464
    1.087278       5.949210
   0.8515854       4.743265
   -1.781964      -7.554730
  -0.8601804      -1.170530
    1.706628       1.141261
  -0.8564859     -0.3026036
   0.6469538       11.26802
   0.4047482     -0.2661054
  -0.5520109      0.3287266
  -0.5872967E-01   1.648841
   -1.247423     -0.8251413
  -0.4418820      0.1299507
  -0.3566792       6.746618
   0.4471618       3.358798
  -0.2274402      -12.05813
   0.6999189       3.195348
    1.389821       3.112725
   -1.281257      -2.182203
  -0.7016412       8.269157
    2.584002       8.948281
  -0.6756739       1.539799
  -0.4098820       1.366573
   0.6108548E-01   9.652080
   0.1834003       4.688916
  -0.2567516       2.151491
   -1.998370      -4.092510
  -0.3545058      -1.228794
  -0.1447689E-01   2.298207
   -1.491783      -2.338685
   0.8019891       6.530606
    2.061291       6.548228
    1.205714       4.453388
    1.721189       5.758693
   -1.030180      -2.771424
    1.053276       6.282035
   0.1072795       1.590989
   -2.359723      -2.223953
  -0.6557276       1.717691
   0.2222329       3.070597
  -0.8559700     -0.1741625E-01
  -0.9475182      -1.629842
  -0.1020737       4.955246
  -0.9636063     -0.8923124
    1.140328       7.441145
  -0.8963515     -0.2389602
   0.1735696E-02   4.960769
  -0.6081755     -0.2049689
  -0.6063535     -0.3445488
   -1.883274      -2.245693
   -1.388330      -7.262858
  -0.6114429       1.558207
   -1.850292      -4.706125
   0.9352067       6.087474
   0.5812301       1.278952
  -0.6251225       7.710217
  -0.5547591      0.9542256
  -0.5660525       2.140136
   0.7483554       3.846830
    1.404163       16.34954
   0.9100283       5.533842
   0.7121489       3.626403
   -1.712877      -1.847505
   0.1424565      -3.789854
   0.8848418       4.341266
  -0.4134366       1.591723
   -1.559744      -3.533231
   0.6076432       5.028384
  -0.7741469      -7.032931
   0.4056067      -6.944582
  -0.6555463      -4.043196
   0.5016317       3.524668
   -1.892760      -4.122383
  -0.2280607       1.600773
   0.6111953       6.133779
    1.152198       6.913913
  -0.1423010E-01  0.1001363
   0.6157115       3.010263
    1.498588       7.416669
